"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 21 19:06:59 MSK 2024","Thu Mar 21 19:07:00 MSK 2024","1281","test","test_add_group","","","","test_add_group[None:nameHLfdky2JheaderUEtcOe:footerguj YSO9FE]",""
"passed","Thu Mar 21 19:07:01 MSK 2024","Thu Mar 21 19:07:03 MSK 2024","1297","test","test_add_group","","","","test_add_group[None:namecheader5XUssMbtcDPoe:footerdBmo7]",""
"passed","Thu Mar 21 19:06:52 MSK 2024","Thu Mar 21 19:06:53 MSK 2024","1229","test","test_add_group","","","","test_add_group[None:nameeheader3JyaMu3Z2BJH66IC5cw:footer12UMeId]",""
"passed","Thu Mar 21 19:06:57 MSK 2024","Thu Mar 21 19:06:59 MSK 2024","1298","test","test_add_group","","","","test_add_group[None:nameH7vqCheadervdkUgIXDtAkKmp0B:footerEnZxGjzd6Xi6a65BBO]",""
"passed","Thu Mar 21 19:06:51 MSK 2024","Thu Mar 21 19:06:52 MSK 2024","1292","test","test_add_group","test_add_group[None","","","test_add_group[None::]",""
"passed","Thu Mar 21 19:07:04 MSK 2024","Thu Mar 21 19:07:05 MSK 2024","1263","test","test_add_group","","","","test_add_group[None:namegheader70gl:footerrsrfaLg1kiIL41]",""
"passed","Thu Mar 21 19:06:56 MSK 2024","Thu Mar 21 19:06:57 MSK 2024","1289","test","test_add_group","","","","test_add_group[None:nameheaderEjq8CHx4kHBW:footergYqlLajuT7wzvr]",""
"passed","Thu Mar 21 19:07:03 MSK 2024","Thu Mar 21 19:07:04 MSK 2024","1214","test","test_add_group","","","","test_add_group[None:name924mheaderNKQmWWRQaP84U:footerrP1]",""
"passed","Thu Mar 21 19:06:55 MSK 2024","Thu Mar 21 19:06:56 MSK 2024","1225","test","test_add_group","","","","test_add_group[None:nameBheaderoLzOLt6SeXxM2ay1B:footer6nFfHwUixoe69J]",""
"passed","Thu Mar 21 19:07:00 MSK 2024","Thu Mar 21 19:07:01 MSK 2024","1246","test","test_add_group","","","","test_add_group[None:nameVRwee0UAKheaderuCiJq8Xgi2:footerC5 sU4a71iKbz0APM]",""
"passed","Thu Mar 21 19:06:53 MSK 2024","Thu Mar 21 19:06:55 MSK 2024","1280","test","test_add_group","","","","test_add_group[None:nameaZgsfheaderKrGAWkt631fZRCV h:footerr2yDz7RMU3]",""
